instance,family,seed,init,algo,feasible,violation,best_max_avg,best_sum_avg,elapsed_s,error
data/MLB/6,MLB,1,round_robin,tabu,True,0.0,1.6,21.122186402685124,0.20065522193908691,
data/MLB/6,MLB,1,round_robin,ga,True,0.0,1.7,21.889553934982324,0.26184606552124023,
data/MLB/6,MLB,1,random,ls,True,0.0,1.588235294117647,21.09735332868325,0.2000110149383545,
data/MLB/6,MLB,1,random,sa,True,0.0,1.5,21.5793835959437,0.20000982284545898,
data/MLB/6,MLB,1,random,tabu,True,0.0,1.4666666666666666,21.30423149953201,0.20150399208068848,
data/MLB/6,MLB,1,random,ga,True,0.0,1.7,21.889553934982324,0.25789713859558105,
data/MLB/6,MLB,1,greedy_fair,ls,True,0.0,2.1,21.88868778280543,0.20002269744873047,
data/MLB/6,MLB,1,greedy_fair,sa,True,0.0,1.5,21.326600179445446,0.20003390312194824,
data/MLB/6,MLB,1,greedy_fair,tabu,True,0.0,1.8,21.758692745873056,0.20167088508605957,
data/MLB/6,MLB,1,greedy_fair,ga,True,0.0,1.7,21.889553934982324,0.2565290927886963,
data/MSB/9,MSB,1,round_robin,ls,True,0.0,2.0,21.416666666666664,0.20000100135803223,
data/MSB/9,MSB,1,round_robin,sa,True,0.0,2.0,21.416666666666664,0.20001816749572754,
data/MSB/9,MSB,1,round_robin,tabu,True,0.0,2.0,21.416666666666664,0.20037102699279785,
data/MSB/9,MSB,1,round_robin,ga,True,0.0,2.0,21.416666666666664,0.2029399871826172,
data/MSB/9,MSB,1,random,ls,True,0.0,2.0,21.583333333333332,0.20001506805419922,
data/MSB/9,MSB,1,random,sa,True,0.0,2.0,21.583333333333332,0.20000123977661133,
data/MSB/9,MSB,1,random,tabu,True,0.0,2.0,21.583333333333332,0.2001972198486328,
data/MSB/9,MSB,1,random,ga,True,0.0,2.0,21.583333333333332,0.20948576927185059,
data/MSB/9,MSB,1,greedy_fair,ls,True,0.0,2.0,20.75,0.20000386238098145,
data/MSB/9,MSB,1,greedy_fair,sa,True,0.0,2.0,20.75,0.20000100135803223,
data/MSB/9,MSB,1,greedy_fair,tabu,True,0.0,2.0,20.75,0.20005106925964355,
data/MSB/9,MSB,1,greedy_fair,ga,True,0.0,2.0,20.75,0.21167373657226562,
data/FSE/5,FSE,1,round_robin,ls,False,177.0,13.5,26.5,0.2000110149383545,
data/FSE/5,FSE,1,round_robin,sa,False,177.0,14.0,26.5,0.20000100135803223,
data/FSE/5,FSE,1,round_robin,tabu,False,127.0,6.5,12.0,0.20014309883117676,
data/FSE/5,FSE,1,round_robin,ga,False,127.0,6.5,12.0,0.2012782096862793,
data/FSE/5,FSE,1,random,ls,False,177.0,13.5,26.5,0.20000982284545898,
data/FSE/5,FSE,1,random,sa,False,177.0,14.0,26.5,0.20000910758972168,
data/FSE/5,FSE,1,random,tabu,False,127.0,6.5,12.0,0.2000720500946045,
data/FSE/5,FSE,1,random,ga,False,127.0,6.5,12.0,0.20218706130981445,
data/FSE/5,FSE,1,greedy_fair,ls,False,177.0,13.5,26.5,0.20000100135803223,
data/FSE/5,FSE,1,greedy_fair,sa,False,177.0,14.0,26.5,0.20000576972961426,
data/FSE/5,FSE,1,greedy_fair,tabu,False,127.0,6.5,12.0,0.20004487037658691,
data/FSE/5,FSE,1,greedy_fair,ga,False,127.0,6.5,12.0,0.2019519805908203,
data/FLB/7,FLB,1,round_robin,ls,True,0.0,1.4,2.4,0.20000672340393066,
data/FLB/7,FLB,1,round_robin,sa,True,0.0,1.4,2.4,0.20000100135803223,
data/FLB/7,FLB,1,round_robin,tabu,False,3.0,1.3636363636363635,2.63030303030303,0.2000739574432373,
data/FLB/7,FLB,1,round_robin,ga,True,0.0,1.4,2.4,0.6109659671783447,
data/FLB/7,FLB,1,random,ls,True,0.0,1.4,2.4,0.20000696182250977,
data/FLB/7,FLB,1,random,sa,True,0.0,1.4,2.4,0.20000195503234863,
data/FLB/7,FLB,1,random,tabu,True,0.0,1.4,2.4,0.20029282569885254,
data/FLB/7,FLB,1,random,ga,True,0.0,1.4,2.4,0.6085031032562256,
data/FLB/7,FLB,1,greedy_fair,ls,True,0.0,1.4,2.4,0.20000314712524414,
data/FLB/7,FLB,1,greedy_fair,sa,True,0.0,1.4,2.4,0.20000791549682617,
data/FLB/7,FLB,1,greedy_fair,tabu,True,0.0,1.4,2.4,0.20001888275146484,
data/FLB/7,FLB,1,greedy_fair,ga,True,0.0,1.4,2.4,0.6087841987609863,
data/MMLE/1,MMLE,1,round_robin,ls,True,0.0,42.55555555555556,975.9611909655654,0.20017409324645996,
data/MMLE/1,MMLE,1,round_robin,sa,True,0.0,42.55555555555556,975.9611909655654,0.20038604736328125,
data/MMLE/1,MMLE,1,round_robin,tabu,True,0.0,42.592592592592595,975.9357280026024,0.20791316032409668,
data/MMLE/1,MMLE,1,round_robin,ga,True,0.0,42.592592592592595,975.9357280026024,137.0896861553192,
data/MMLE/1,MMLE,1,random,ls,False,1258.0,31.76923076923077,1036.312620297924,0.20032906532287598,
data/MMLE/1,MMLE,1,random,sa,False,1342.0,31.76923076923077,1035.8233405602937,0.20021820068359375,
data/MMLE/1,MMLE,1,random,tabu,False,1439.0,31.76923076923077,1035.9864790126446,0.20297789573669434,
data/MMLE/1,MMLE,1,random,ga,False,2166.0,31.76923076923077,1036.0929855807892,137.01868200302124,
data/MMLE/1,MMLE,1,greedy_fair,ls,False,833.0,47.857142857142854,1046.2257553397048,0.20000100135803223,
data/MMLE/1,MMLE,1,greedy_fair,sa,False,737.0,47.857142857142854,1045.889019804945,0.20013213157653809,
data/MMLE/1,MMLE,1,greedy_fair,tabu,False,1163.0,47.92857142857143,1047.0313513210886,0.2002570629119873,
data/MMLE/1,MMLE,1,greedy_fair,ga,False,1323.0,47.857142857142854,1046.3150459885453,137.01062393188477,
data/FLE/9,FLE,1,round_robin,ls,False,105.0,7.392857142857143,20.92989417989418,0.20000004768371582,
data/FLE/9,FLE,1,round_robin,sa,False,85.0,7.333333333333333,21.321428571428573,0.2000277042388916,
data/FLE/9,FLE,1,round_robin,tabu,False,71.0,7.428571428571429,20.780423280423282,0.20079994201660156,
data/FLE/9,FLE,1,round_robin,ga,False,191.0,7.703703703703703,20.822751322751323,5.972492933273315,
data/FLE/9,FLE,1,random,ls,False,176.0,6.785714285714286,19.906084656084655,0.20001888275146484,
data/FLE/9,FLE,1,random,sa,False,103.0,7.035714285714286,20.239417989417987,0.2000138759613037,
data/FLE/9,FLE,1,random,tabu,False,71.0,6.892857142857143,20.226190476190478,0.20080113410949707,
